Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
07/30/2015,07:42:25,-27.0321,-176.0466,Earthquake,10.0,1.7,,5.6,MWB,0.047,44.0,55.0,2.761,7.7,1.12,US10002WA2,US,US,US,Reviewed
08/11/2015,13:35:49,-27.0523,-176.2728,Earthquake,10.0,1.7,,5.7,MWB,0.043,53.0,35.0,2.628,9.0,0.8,US10003137,US,US,US,Reviewed
09/01/2015,15:24:09,31.2841,141.7062,Earthquake,10.0,1.8,,5.6,MB,0.029,410.0,25.0,2.43,6.6,0.74,US20003FE2,US,US,US,Reviewed
09/09/2015,07:05:44,-49.5321,-116.3317,Earthquake,10.0,1.8,,5.9,MWB,0.061,26.0,63.0,35.377,13.9,0.89,US20003HME,US,US,US,Reviewed
09/16/2015,22:59:15,-31.618,-71.745,Earthquake,26.7,3.6,,6.4,MB,0.081,60.0,,,6.0,0.72,US20003K8B,US,GUC,US,Reviewed
09/16/2015,23:09:07,-31.1055,-71.405,Earthquake,37.8,4.8,,5.6,MB,0.07,72.0,68.0,0.473,5.7,0.8,US20003KDQ,US,US,US,Reviewed
09/16/2015,23:09:26,-31.5743,-71.6717,Earthquake,35.0,1.9,,5.7,MB,0.073,67.0,94.0,1.585,7.9,0.89,US10003ITV,US,US,US,Reviewed
09/16/2015,23:16:09,-31.6,-71.9189,Earthquake,35.0,1.8,,6.1,MB,0.051,146.0,98.0,0.954,5.3,0.76,US20003K83,US,US,US,Reviewed
09/16/2015,23:23:26,-31.1674,-71.772,Earthquake,32.1,4.9,,5.7,MB,0.137,19.0,147.0,0.505,4.6,0.74,US20003M3N,US,US,US,Reviewed
09/16/2015,23:28:23,-30.7179,-71.8037,Earthquake,20.71,4.0,,5.5,MB,0.099,35.0,112.0,0.151,5.4,0.67,US10003IT9,US,US,US,Reviewed
09/16/2015,23:38:02,-31.7842,-72.0222,Earthquake,12.46,3.0,,5.9,MB,0.039,238.0,28.0,1.155,5.1,0.74,US20003K89,US,US,US,Reviewed
09/17/2015,01:33:03,-31.7363,-72.0265,Earthquake,9.29,2.9,,5.8,MWR,0.049,40.0,34.0,1.111,2.3,0.88,US20003KC5,US,US,US,Reviewed
09/17/2015,04:26:39,-31.4167,-71.98,Earthquake,17.62,3.1,,5.5,MWR,0.048,42.0,86.0,0.797,5.1,0.69,US20003KGI,US,US,US,Reviewed
09/17/2015,05:44:40,-31.8011,-72.1309,Earthquake,10.0,1.7,,5.5,MWR,0.048,41.0,40.0,1.201,5.2,0.62,US20003KHN,US,US,US,Reviewed
09/17/2015,08:58:45,53.2985,159.7085,Earthquake,68.09,5.1,,5.5,MB,0.047,160.0,91.0,0.694,8.1,0.57,US20003KJD,US,US,US,Reviewed
09/26/2015,17:23:27,5.2649,123.7966,Earthquake,516.0,1.9,,5.5,MWB,0.056,31.0,31.0,2.521,6.3,1.06,US20003PCI,US,US,US,Reviewed
09/26/2015,18:17:25,-6.278,151.6661,Earthquake,2.93,2.6,,5.5,MB,0.037,253.0,18.0,2.131,6.2,0.74,US20003PCW,US,US,US,Reviewed
09/26/2015,21:40:35,-57.0947,-142.4382,Earthquake,10.0,1.8,,5.9,MWB,0.048,41.0,66.0,26.881,12.5,1.35,US20003PDW,US,US,US,Reviewed
10/24/2015,17:31:19,-30.2199,-179.3319,Earthquake,313.68,3.9,,5.5,MWB,0.078,16.0,56.0,1.559,6.2,1.01,US10003R6Y,US,US,US,Reviewed
10/26/2015,09:09:32,36.459,70.6847,Earthquake,206.94,4.6,,5.9,MB,0.053,133.0,18.0,0.671,6.5,1.11,US100042N2,US,US,US,Reviewed
11/11/2015,06:26:34,-9.1387,-108.6442,Earthquake,10.0,1.8,,5.6,MWB,0.063,24.0,100.0,17.905,13.4,0.62,US10003XAF,US,US,US,Reviewed
11/24/2015,20:45:02,-0.0981,-17.834,Earthquake,10.0,1.8,,5.5,MWB,0.065,23.0,33.0,8.372,9.6,0.88,US100040UV,US,US,US,Reviewed
11/29/2015,18:56:22,-23.4779,-64.5862,Earthquake,10.0,1.8,,5.5,MB,0.081,53.0,45.0,4.075,5.6,0.89,US100042ZP,US,US,US,Reviewed
11/30/2015,20:19:05,-8.791,67.6967,Earthquake,10.0,1.8,,5.5,MWB,0.042,55.0,59.0,4.904,6.6,0.95,US1000429G,US,US,US,Reviewed
12/07/2015,08:30:57,41.7307,74.6053,Earthquake,21.53,3.2,,5.5,MB,0.032,338.0,41.0,0.909,4.6,0.72,US100044KM,US,US,US,Reviewed
12/12/2015,23:32:55,-41.1083,-90.0703,Earthquake,10.0,1.7,,5.5,MWB,0.057,30.0,63.0,12.473,10.8,0.88,US20004GTZ,US,US,US,Reviewed
12/21/2015,15:44:05,-4.4354,151.9782,Earthquake,162.0,1.3,,5.7,MWB,0.05,38.0,33.0,0.136,6.9,0.68,US100048LK,US,US,US,Reviewed
01/10/2016,12:12:02,-57.6576,-147.9486,Earthquake,4.0,1.7,,5.6,MWB,0.075,17.0,48.0,32.49,13.0,0.95,US10004DAM,US,US,US,Reviewed
01/14/2016,11:04:19,-15.6408,-177.1557,Earthquake,10.0,1.8,,5.6,MWB,0.065,23.0,38.0,5.045,9.4,1.35,US10004EFN,US,US,US,Reviewed
01/30/2016,12:02:48,-3.1401,146.9814,Earthquake,13.0,1.8,,5.5,MWB,0.065,23.0,30.0,1.155,7.3,1.06,US20004W14,US,US,US,Reviewed
02/26/2016,01:49:37,-62.2092,155.2569,Earthquake,10.0,1.8,,5.7,MWB,0.083,14.0,36.0,15.531,12.1,0.88,US10004SSU,US,US,US,Reviewed
03/03/2016,08:36:33,-9.7645,125.316,Earthquake,29.5,5.6,,5.6,MB,0.079,56.0,77.0,1.686,8.0,0.68,US10004UA7,US,US,US,Reviewed
03/05/2016,18:45:30,-32.9625,-178.2218,Earthquake,10.0,1.7,,5.5,MB,0.046,160.0,48.0,3.714,8.5,1.12,US10004UY6,US,US,US,Reviewed
03/21/2016,14:48:51,27.7676,66.0962,Earthquake,10.0,1.8,,5.6,MWB,0.043,51.0,19.0,7.208,7.3,0.54,US20005BFT,US,US,US,Reviewed
04/12/2016,03:22:48,-3.7568,-103.9367,Earthquake,10.0,1.8,,5.8,MWB,0.04,60.0,48.0,13.979,11.9,0.64,US20005HAZ,US,US,US,Reviewed
04/12/2016,12:07:56,-55.2497,146.1742,Earthquake,9.0,1.7,,5.5,MWB,0.098,10.0,45.0,7.415,9.9,1.11,US20005HDP,US,US,US,Reviewed
04/15/2016,18:55:53,33.0051,131.1569,Earthquake,13.22,3.2,,5.5,MWR,0.098,10.0,19.0,0.263,4.7,0.87,US20005INZ,US,US,US,Reviewed
04/17/2016,00:29:31,-0.2648,-80.4644,Earthquake,15.49,3.5,,5.5,MB,0.041,205.0,44.0,2.008,6.3,0.88,US20005J3I,US,US,US,Reviewed
04/17/2016,09:23:41,-0.2344,-80.6943,Earthquake,10.0,1.7,,5.6,MWB,0.04,61.0,45.0,2.212,6.4,1.06,US20005J6Q,US,US,US,Reviewed
04/19/2016,22:22:25,0.5783,-80.0247,Earthquake,11.0,1.7,,5.6,MWB,0.038,66.0,47.0,1.609,6.0,0.68,US20005JYU,US,US,US,Reviewed
04/20/2016,08:35:11,0.7079,-80.0352,Earthquake,10.0,1.8,,6.0,MWB,0.042,54.0,78.0,1.651,6.9,1.43,US20005KB6,US,US,US,Reviewed
05/03/2016,02:34:59,-55.7642,-143.9055,Earthquake,10.0,1.8,,5.5,MWB,0.063,24.0,37.0,27.84,11.8,0.91,US10005D7K,US,US,US,Reviewed
05/05/2016,07:01:47,13.7719,51.7683,Earthquake,10.0,1.9,,5.5,MWB,0.048,41.0,34.0,2.494,7.4,1.19,US10005DZ1,US,US,US,Reviewed
05/05/2016,11:01:47,-8.9416,-108.2391,Earthquake,10.0,1.8,,5.6,MWB,0.048,42.0,71.0,19.672,13.9,1.12,US10005DZS,US,US,US,Reviewed
05/07/2016,00:18:37,18.3754,-105.3371,Earthquake,10.0,1.8,,5.6,MWB,0.063,24.0,104.0,1.506,5.9,0.85,US10005EL7,US,US,US,Reviewed
